district,city,wilaya
Tala-Ifacene,Maoklane,Sétif
Serdj-El-Ghoul,Babor,Sétif
Guidjel,Guidjel,Sétif
Ouled Sabor,Guidjel,Sétif
Bazer-Sakra,El Eulma,Sétif
El Eulma,El Eulma,Sétif
Guelta Zerka,El Eulma,Sétif
Beni Fouda,Djemila,Sétif
Djemila,Djemila,Sétif
Ain-Legradj,Beni Ourtilane,Sétif
Beni Chebana,Beni Ourtilane,Sétif
Beni Ourtilane,Beni Ourtilane,Sétif
Beni-Mouhli,Beni Ourtilane,Sétif
Ain Abessa,Ain Arnat,Sétif
Ain Arnat,Ain Arnat,Sétif
Babor,Babor,Sétif
Maouaklane,Maoklane,Sétif
Saida,Saida,Saïda
Tircine,Ouled Brahim,Saïda
Ouled Brahim,Ouled Brahim,Saïda
Ain Soltane,Ouled Brahim,Saïda
Maamora,El Hassasna,Saïda
El Hassasna,El Hassasna,Saïda
Ain Sekhouna,El Hassasna,Saïda
Sidi Boubekeur,Sidi Boubekeur,Saïda
Ouled Khaled,Sidi Boubekeur,Saïda
Hounet,Sidi Boubekeur,Saïda
Youb,Youb,Saïda
Doui Thabet,Youb,Saïda
Sidi Ahmed,Ain El Hadjar,Saïda
Moulay Larbi,Ain El Hadjar,Saïda
Ain El Hadjar,Ain El Hadjar,Saïda
Sidi Amar,Sidi Boubekeur,Saïda
Ain Bouziane,Sidi Mezghiche,Skikda
Salah Bouchaour,El Harrouch,Skikda
El Hadaiek,El Hadaiek,Skikda
Zerdezas,El Harrouch,Skikda
Ouled Habbaba,El Harrouch,Skikda
Beni Oulbane,Sidi Mezghiche,Skikda
Sidi Mezghiche,Sidi Mezghiche,Skikda
Beni Bechir,Ramdane Djamel,Skikda
Ramdane Djamel,Ramdane Djamel,Skikda
Bin El Ouiden,Tamalous,Skikda
Emjez Edchich,El Harrouch,Skikda
Tamalous,Tamalous,Skikda
Ain Kechra,Ain Kechra,Skikda
Ouldja Boulbalout,Ain Kechra,Skikda
Oum Toub,Oum Toub,Skikda
El Ghedir,Azzaba,Skikda
Kerkara,Tamalous,Skikda
El Arrouch,El Harrouch,Skikda
Zitouna,Zitouna,Skikda
Ouled Attia,Ouled Attia,Skikda
Oued Zhour,Ouled Attia,Skikda
Collo,Collo,Skikda
Cheraia,Collo,Skikda
Beni Zid,Collo,Skikda
Khenag Maoune,Ouled Attia,Skikda
El Marsa,Ben Azzouz,Skikda
Ben Azzouz,Ben Azzouz,Skikda
Bekkouche Lakhdar,Ben Azzouz,Skikda
Es Sebt,Azzaba,Skikda
Ain Charchar,Azzaba,Skikda
Azzaba,Azzaba,Skikda
Bouchetata,El Hadaiek,Skikda
Filfila,Skikda,Skikda
Hammadi Krouma,Skikda,Skikda
Skikda,Skikda,Skikda
Ain Zouit,El Hadaiek,Skikda
Djendel Saadi Mohamed,Azzaba,Skikda
Kanoua,Zitouna,Skikda
Sidi Ali Benyoub,Sidi Ali Ben Youb,Sidi Bel Abbès
Moulay Slissen,Moulay Slissen,Sidi Bel Abbès
El Hacaiba,Moulay Slissen,Sidi Bel Abbès
Ain Tindamine,Moulay Slissen,Sidi Bel Abbès
Tenira,Tenira,Sidi Bel Abbès
Oued Sefioun,Tenira,Sidi Bel Abbès
Hassi Dahou,Tenira,Sidi Bel Abbès
Oued Taourira,Merine,Sidi Bel Abbès
Benachiba Chelia,Tenira,Sidi Bel Abbès
Sidi Yacoub,Sidi Lahcene,Sidi Bel Abbès
Sidi Lahcene,Sidi Lahcene,Sidi Bel Abbès
Sidi Khaled,Sidi Lahcene,Sidi Bel Abbès
Tabia,Sidi Ali Ben Youb,Sidi Bel Abbès
Sidi Brahim,Ain El Berd,Sidi Bel Abbès
Amarnas,Sidi Lahcene,Sidi Bel Abbès
Boukhanefis,Sidi Ali Ben Youb,Sidi Bel Abbès
Hassi Zahana,Ben Badis,Sidi Bel Abbès
Chetouane Belaila,Ben Badis,Sidi Bel Abbès
Ben Badis,Ben Badis,Sidi Bel Abbès
Bedrabine El Mokrani,Ben Badis,Sidi Bel Abbès
Sfisef,Sfisef,Sidi Bel Abbès
M'cid,Sfisef,Sidi Bel Abbès
Boudjebaa El Bordj,Sfisef,Sidi Bel Abbès
Ain- Adden,Sfisef,Sidi Bel Abbès
Sidi Hamadouche,Ain El Berd,Sidi Bel Abbès
Sidi Chaib,Marhoum,Sidi Bel Abbès
Makedra,Ain El Berd,Sidi Bel Abbès
Ain El Berd,Ain El Berd,Sidi Bel Abbès
Redjem Demouche,Ras El Ma,Sidi Bel Abbès
Ras El Ma,Ras El Ma,Sidi Bel Abbès
Oued Sebaa,Ras El Ma,Sidi Bel Abbès
Marhoum,Marhoum,Sidi Bel Abbès
Sidi Bel-Abbes,Sidi Bel Abbes,Sidi Bel Abbès
Ain Thrid,Tessala,Sidi Bel Abbès
Sehala Thaoura,Tessala,Sidi Bel Abbès
Tessala,Tessala,Sidi Bel Abbès
Belarbi,Mostefa  Ben Brahim,Sidi Bel Abbès
Mostefa  Ben Brahim,Mostefa  Ben Brahim,Sidi Bel Abbès
Tilmouni,Mostefa  Ben Brahim,Sidi Bel Abbès
Zerouala,Mostefa  Ben Brahim,Sidi Bel Abbès
Dhaya,Telagh,Sidi Bel Abbès
Mezaourou,Telagh,Sidi Bel Abbès
Teghalimet,Telagh,Sidi Bel Abbès
Telagh,Telagh,Sidi Bel Abbès
Ain Kada,Sidi Ali Boussidi,Sidi Bel Abbès
Lamtar,Sidi Ali Boussidi,Sidi Bel Abbès
Sidi Ali Boussidi,Sidi Ali Boussidi,Sidi Bel Abbès
Sidi Dahou Zairs,Sidi Ali Boussidi,Sidi Bel Abbès
Bir El Hammam,Marhoum,Sidi Bel Abbès
Merine,Merine,Sidi Bel Abbès
Tefessour,Merine,Sidi Bel Abbès
Taoudmout,Merine,Sidi Bel Abbès
Annaba,Annaba,Annaba
Seraidi,Annaba,Annaba
Berrahal,Berrahal,Annaba
Oued El Aneb,Berrahal,Annaba
El Hadjar,El Hadjar,Annaba
Sidi Amar,El Hadjar,Annaba
El Bouni,El Bouni,Annaba
Ain El Berda,Ain El Berda,Annaba
Cheurfa,Ain El Berda,Annaba
El Eulma,Ain El Berda,Annaba
Treat,Berrahal,Annaba
Chetaibi,Chetaibi,Annaba
Nechmaya,Guelaat Bousbaa,Guelma
Bou Hamdane,Hammam Debagh,Guelma
Hammam Debagh,Hammam Debagh,Guelma
Roknia,Hammam Debagh,Guelma
Dahouara,Hammam N'bails,Guelma
Hammam N'bail,Hammam N'bails,Guelma
Guelma,Guelma,Guelma
Boumahra Ahmed,Guelaat Bousbaa,Guelma
Ain Ben Beida,Bouchegouf,Guelma
Bouchegouf,Bouchegouf,Guelma
Medjez Sfa,Bouchegouf,Guelma
Oued Ferragha,Bouchegouf,Guelma
Bouati Mahmoud,Heliopolis,Guelma
El Fedjoudj,Heliopolis,Guelma
Heliopolis,Heliopolis,Guelma
Medjez Amar,Ain Hessainia,Guelma
Houari Boumedienne,Ain Hessainia,Guelma
Ras El Agba,Ain Hessainia,Guelma
Sellaoua Announa,Ain Hessainia,Guelma
Djeballah Khemissi,Guelaat Bousbaa,Guelma
Bordj Sabath,Oued Zenati,Guelma
Oued Zenati,Oued Zenati,Guelma
Ain Regada,Oued Zenati,Guelma
Ain Larbi,Ain Makhlouf,Guelma
Ain Makhlouf,Ain Makhlouf,Guelma
Tamlouka,Ain Makhlouf,Guelma
Ain Sandel,Khezaras,Guelma
Bou Hachana,Khezaras,Guelma
Khezaras,Khezaras,Guelma
Belkheir,Guelaat Bousbaa,Guelma
Beni Mezline,Guelaat Bousbaa,Guelma
Guelaat Bou Sbaa,Guelaat Bousbaa,Guelma
Oued Cheham,Hammam N'bails,Guelma
Bendjarah,Guelma,Guelma
Didouche Mourad,Hamma Bouziane,Constantine
Hamma Bouziane,Hamma Bouziane,Constantine
Beni Hamidane,Zighoud Youcef,Constantine
Zighoud Youcef,Zighoud Youcef,Constantine
Ain Smara,El Khroub,Constantine
El Khroub,El Khroub,Constantine
Ouled Rahmoun,El Khroub,Constantine
Ain Abid,Ain Abid,Constantine
Ben Badis,Ain Abid,Constantine
Ibn Ziad,Ibn Ziad,Constantine
Messaoud Boudjeriou,Ibn Ziad,Constantine
Constantine,Constantine,Constantine
Ouled Hellal,Ouled Antar,Médéa
Souagui,Souaghi,Médéa
Ksar El Boukhari,Ksar El Boukhari,Médéa
M'fatha,Ksar El Boukhari,Médéa
Saneg,Ksar El Boukhari,Médéa
El Azizia,El Azizia,Médéa
Maghraoua,El Azizia,Médéa
Mihoub,El Azizia,Médéa
Bouaiche,Chahbounia,Médéa
Boughzoul,Chahbounia,Médéa
Chabounia,Chahbounia,Médéa
Hannacha,Ouamri,Médéa
Ouamri,Ouamri,Médéa
Oued Harbil,Ouamri,Médéa
Beni Slimane,Beni Slimane,Médéa
Bouaichoune,Si Mahdjoub,Médéa
Ouled Bouachra,Si Mahdjoub,Médéa
Si Mahdjoub,Si Mahdjoub,Médéa
Bouskene,Beni Slimane,Médéa
Sidi Rabie,Beni Slimane,Médéa
Berrouaghia,Berrouaghia,Médéa
Ouled Deid,Berrouaghia,Médéa
Rebaia,Berrouaghia,Médéa
Medjebar,Seghouane,Médéa
Tletat Ed Douair,Seghouane,Médéa
Zoubiria,Seghouane,Médéa
Aissaouia,Tablat,Médéa
El Haoudane,Tablat,Médéa
Mezerana,Tablat,Médéa
Tablat,Tablat,Médéa
Boghar,Ouled Antar,Médéa
Seghouane,Seghouane,Médéa
Draa Esmar,Medea,Médéa
Medea,Medea,Médéa
Tamesguida,Medea,Médéa
Ben Chicao,Ouzera,Médéa
El Hamdania,Ouzera,Médéa
Ouzera,Ouzera,Médéa
Tizi Mahdi,Ouzera,Médéa
Ain Boucif,Ain Boucif,Médéa
El Ouinet,Ain Boucif,Médéa
Kef Lakhdar,Ain Boucif,Médéa
Ouled Emaaraf,Ain Boucif,Médéa
Sidi Demed,Ain Boucif,Médéa
Baata,El Omaria,Médéa
El Omaria,El Omaria,Médéa
Ouled Brahim,El Omaria,Médéa
Bir Ben Laabed,Guelb El Kebir,Médéa
El Guelbelkebir,Guelb El Kebir,Médéa
Sedraya,Guelb El Kebir,Médéa
Ain Ouksir,Chellalat El Adhaoura,Médéa
Chelalet El Adhaoura,Chellalat El Adhaoura,Médéa
Cheniguel,Chellalat El Adhaoura,Médéa
Tafraout,Chellalat El Adhaoura,Médéa
Bouchrahil,Sidi Naamane,Médéa
Khams Djouamaa,Sidi Naamane,Médéa
Sidi Naamane,Sidi Naamane,Médéa
Aziz,Aziz,Médéa
Derrag,Aziz,Médéa
Oum El Djellil,Aziz,Médéa
Djouab,Souaghi,Médéa
Sidi Zahar,Souaghi,Médéa
Sidi Ziane,Souaghi,Médéa
Ouled Antar,Ouled Antar,Médéa
Fornaka,Ain Nouicy,Mostaganem
Oued El Kheir,Ain Tedeles,Mostaganem
Hassiane,Ain Nouicy,Mostaganem
Hassi Mameche,Hassi Mameche,Mostaganem
Mazagran,Hassi Mameche,Mostaganem
Stidia,Hassi Mameche,Mostaganem
Ain-Tedles,Ain Tedeles,Mostaganem
Sidi Belaattar,Ain Tedeles,Mostaganem
Sour,Ain Tedeles,Mostaganem
Ain-Boudinar,Kheir Eddine,Mostaganem
Kheir-Eddine,Kheir Eddine,Mostaganem
Sayada,Kheir Eddine,Mostaganem
Sidi Ali,Sidi Ali,Mostaganem
Tazgait,Sidi Ali,Mostaganem
Benabdelmalek Ramdane,Sidi Lakhdar,Mostaganem
Mostaganem,Mostaganem,Mostaganem
Hadjadj,Sidi Lakhdar,Mostaganem
Sidi-Lakhdar,Sidi Lakhdar,Mostaganem
Achaacha,Achaacha,Mostaganem
Khadra,Achaacha,Mostaganem
Nekmaria,Achaacha,Mostaganem
Ouled Boughalem,Achaacha,Mostaganem
Bouguirat,Bouguirat,Mostaganem
Safsaf,Bouguirat,Mostaganem
Sirat,Bouguirat,Mostaganem
Souaflia,Bouguirat,Mostaganem
Ain-Sidi Cherif,Mesra,Mostaganem
Mansourah,Mesra,Mostaganem
Mesra,Mesra,Mostaganem
Touahria,Mesra,Mostaganem
Ain-Nouissy,Ain Nouicy,Mostaganem
Ouled-Maalah,Sidi Ali,Mostaganem
Chellal,Chellal,M'Sila
Ouled Madhi,Chellal,M'Sila
Khettouti Sed-El-Jir,Chellal,M'Sila
Belaiba,Magra,M'Sila
Berhoum,Magra,M'Sila
Dehahna,Magra,M'Sila
Magra,Magra,M'Sila
Beni Ilmane,Sidi Aissa,M'Sila
Bouti Sayeh,Sidi Aissa,M'Sila
Sidi Aissa,Sidi Aissa,M'Sila
Ain El Hadjel,Ain El Hadjel,M'Sila
Sidi Hadjeres,Ain El Hadjel,M'Sila
Bou Saada,Bousaada,M'Sila
El Hamel,Bousaada,M'Sila
Oulteme,Bousaada,M'Sila
Benzouh,Ouled Sidi Brahim,M'Sila
Ouled Sidi Brahim,Ouled Sidi Brahim,M'Sila
Sidi Ameur,Sidi Ameur,M'Sila
Tamsa,Sidi Ameur,M'Sila
Ben Srour,Ben Srour,M'Sila
Mohamed Boudiaf,Ben Srour,M'Sila
Ouled Slimane,Ben Srour,M'Sila
Zarzour,Ben Srour,M'Sila
Ain El Melh,Ain El Melh,M'Sila
Ain Fares,Ain El Melh,M'Sila
Ain Rich,Ain El Melh,M'Sila
Bir Foda,Ain El Melh,M'Sila
Sidi M'hamed,Ain El Melh,M'Sila
Medjedel,Medjedel,M'Sila
Menaa,Medjedel,M'Sila
Djebel Messaad,Djebel Messaad,M'Sila
Slim,Djebel Messaad,M'Sila
M'sila,M'sila,M'Sila
Hammam Dalaa,Hammam Dalaa,M'Sila
Ouanougha,Hammam Dalaa,M'Sila
Ouled Mansour,Hammam Dalaa,M'Sila
Tarmount,Hammam Dalaa,M'Sila
Maadid,Ouled Derradj,M'Sila
M'tarfa,Ouled Derradj,M'Sila
Maarif,Chellal,M'Sila
Ouled Derradj,Ouled Derradj,M'Sila
Souamaa,Ouled Derradj,M'Sila
El Houamed,Khoubana,M'Sila
Khoubana,Khoubana,M'Sila
M'cif,Khoubana,M'Sila
Ain Khadra,Magra,M'Sila
Ouled Addi Guebala,Ouled Derradj,M'Sila
Oued El Abtal,Oued El Abtal,Mascara
Sidi Abdelmoumene,Mohammadia,Mascara
Sedjerara,Mohammadia,Mascara
Mohammadia,Mohammadia,Mascara
Tighennif,Tighennif,Mascara
Mocta-Douz,Mohammadia,Mascara
Ferraguig,Mohammadia,Mascara
El Ghomri,Mohammadia,Mascara
Zahana,Zahana,Mascara
El Gaada,Zahana,Mascara
Ras El Ain Amirouche,Oggaz,Mascara
Oggaz,Oggaz,Mascara
Alaimia,Oggaz,Mascara
Sig,Sig,Mascara
Chorfa,Sig,Mascara
Bou Henni,Sig,Mascara
El Mamounia,Ain Fares,Mascara
El Gueitena,Bouhanifia,Mascara
Ain Fares,Ain Fares,Mascara
Gharrous,Aouf,Mascara
Benian,Aouf,Mascara
Aouf,Aouf,Mascara
Guerdjoum,Oued Taria,Mascara
Ain Frass,Ain Fekan,Mascara
Ain Fekan,Ain Fekan,Mascara
Khalouia,El Bordj,Mascara
El Menaouer,El Bordj,Mascara
El Bordj,El Bordj,Mascara
Sidi Boussaid,Ghriss,Mascara
Matemore,Ghriss,Mascara
Sidi Kada,Tighennif,Mascara
Makhda,Ghriss,Mascara
Mascara,Mascara,Mascara
Bouhanifia,Bouhanifia,Mascara
Ghriss,Ghriss,Mascara
Hacine,Bouhanifia,Mascara
El Keurt,Tizi,Mascara
Froha,Tizi,Mascara
Tizi,Tizi,Mascara
Sehailia,Tighennif,Mascara
Maoussa,Ghriss,Mascara
Sidi Abdeldjebar,Oued El Abtal,Mascara
El Hachem,Hachem,Mascara
Nesmot,Hachem,Mascara
Zelamta,Hachem,Mascara
Ain Ferah,Oued El Abtal,Mascara
Oued Taria,Oued Taria,Mascara
Ouargla,Ouargla,Ouargla
Hassi Messaoud,Hassi Messaoud,Ouargla
Ain Beida,Sidi Khouiled,Ouargla
Hassi Ben Abdellah,Sidi Khouiled,Ouargla
Sidi Khouiled,Sidi Khouiled,Ouargla
El Borma,El Borma,Ouargla
Rouissat,Ouargla,Ouargla
N'goussa,N'goussa,Ouargla
Sidi Chami,Es Senia,Oran
Hassi Mefsoukh,Gdyel,Oran
Bir El Djir,Bir El Djir,Oran
Hassi Ben Okba,Bir El Djir,Oran
Gdyel,Gdyel,Oran
Hassi Bounif,Bir El Djir,Oran
El Kerma,Es Senia,Oran
Es Senia,Es Senia,Oran
Ben Freha,Gdyel,Oran
Arzew,Arzew,Oran
Sidi Ben Yebka,Arzew,Oran
Ain Biya,Bethioua,Oran
Bethioua,Bethioua,Oran
Marsat El Hadjadj,Bethioua,Oran
Ain Turk,Ain Turk,Oran
Oran,Oran,Oran
El Ancor,Ain Turk,Oran
Mers El Kebir,Ain Turk,Oran
Boufatis,Oued Tlelat,Oran
El Braya,Oued Tlelat,Oran
Oued Tlelat,Oued Tlelat,Oran
Ain Kerma,Boutlelis,Oran
Boutlelis,Boutlelis,Oran
Messerghin,Boutlelis,Oran
Bousfer,Ain Turk,Oran
Tafraoui,Oued Tlelat,Oran
Ain El Orak,Labiodh Sidi Cheikh,El Bayadh
Krakda,Brezina,El Bayadh
Sidi Slimane,Boualem,El Bayadh
Sidi Ameur,Boualem,El Bayadh
Boualem,Boualem,El Bayadh
El Bnoud,Labiodh Sidi Cheikh,El Bayadh
Bougtoub,Bougtoub,El Bayadh
El Kheiter,Bougtoub,El Bayadh
Tousmouline,Bougtoub,El Bayadh
Sidi Tiffour,Boualem,El Bayadh
Stitten,Boualem,El Bayadh
El Bayadh,El Bayadh,El Bayadh
Rogassa,Rogassa,El Bayadh
El Mehara,Chellala,El Bayadh
Kef El Ahmar,Rogassa,El Bayadh
Brezina,Brezina,El Bayadh
Ghassoul,Brezina,El Bayadh
Labiodh Sidi Cheikh,Labiodh Sidi Cheikh,El Bayadh
Boussemghoun,Boussemghoun,El Bayadh
Cheguig,Rogassa,El Bayadh
Chellala,Chellala,El Bayadh
Arbaouat,Labiodh Sidi Cheikh,El Bayadh
Bordj Omar Driss,In Amenas,Illizi
Debdeb,In Amenas,Illizi
In Amenas,In Amenas,Illizi
Illizi,Illizi,Illizi
Elhammadia,El Hamadia,Bordj Bou Arreridj
Ouled Sidi-Brahim,Mansourah,Bordj Bou Arreridj
Ain Taghrout,Ain Taghrout,Bordj Bou Arreridj
Tixter,Ain Taghrout,Bordj Bou Arreridj
Belimour,Bordj Ghedir,Bordj Bou Arreridj
El Annasseur,Bordj Ghedir,Bordj Bou Arreridj
Ghailasa,Bordj Ghedir,Bordj Bou Arreridj
Taglait,Bordj Ghedir,Bordj Bou Arreridj
Bordj Ghedir,Bordj Ghedir,Bordj Bou Arreridj
El Euch,El Hamadia,Bordj Bou Arreridj
Sidi-Embarek,Bir Kasdali,Bordj Bou Arreridj
Khelil,Bir Kasdali,Bordj Bou Arreridj
Bir Kasdali,Bir Kasdali,Bordj Bou Arreridj
Tefreg,Djaafra,Bordj Bou Arreridj
El Main,Djaafra,Bordj Bou Arreridj
Djaafra,Djaafra,Bordj Bou Arreridj
Colla,Djaafra,Bordj Bou Arreridj
Teniet En Nasr,Medjana,Bordj Bou Arreridj
El M'hir,Mansourah,Bordj Bou Arreridj
Ksour,El Hamadia,Bordj Bou Arreridj
Mansoura,Mansourah,Bordj Bou Arreridj
Haraza,Mansourah,Bordj Bou Arreridj
Rabta,El Hamadia,Bordj Bou Arreridj
El Achir,Medjana,Bordj Bou Arreridj
Hasnaoua,Medjana,Bordj Bou Arreridj
Medjana,Medjana,Bordj Bou Arreridj
Ain Tesra,Ras El Oued,Bordj Bou Arreridj
Ouled Brahem,Ras El Oued,Bordj Bou Arreridj
Ras El Oued,Ras El Oued,Bordj Bou Arreridj
Bordj Zemmoura,Bordj Zemmoura,Bordj Bou Arreridj
Ouled Dahmane,Bordj Zemmoura,Bordj Bou Arreridj
Tassamert,Bordj Zemmoura,Bordj Bou Arreridj
B. B. Arreridj,Bordj Bou Arreridj,Bordj Bou Arreridj
Ben Daoud,Mansourah,Bordj Bou Arreridj
El Kharrouba,Boudouaou,Boumerdès
Dellys,Dellys,Boumerdès
Ben Choud,Dellys,Boumerdès
Afir,Dellys,Boumerdès
Thenia,Thenia,Boumerdès
Beni Amrane,Thenia,Boumerdès
Khemis El Khechna,Khemis El Khechna,Boumerdès
Ammal,Thenia,Boumerdès
Timezrit,Isser,Boumerdès
Zemmouri,Bordj Menaiel,Boumerdès
Larbatache,Khemis El Khechna,Boumerdès
Isser,Isser,Boumerdès
Chabet El Ameur,Isser,Boumerdès
Ouled Aissa,Naciria,Boumerdès
Naciria,Naciria,Boumerdès
Bouzegza Keddara,Boudouaou,Boumerdès
Souk El Had,Thenia,Boumerdès
Sidi Daoud,Baghlia,Boumerdès
Baghlia,Baghlia,Boumerdès
Leghata,Bordj Menaiel,Boumerdès
Djinet,Bordj Menaiel,Boumerdès
Tidjelabine,Boumerdes,Boumerdès
Si Mustapha,Isser,Boumerdès
Ouled Hedadj,Boudouaou,Boumerdès
Ouled Moussa,Khemis El Khechna,Boumerdès
Boumerdes,Boumerdes,Boumerdès
Corso,Boumerdes,Boumerdès
Bordj Menaiel,Bordj Menaiel,Boumerdès
Boudouaou,Boudouaou,Boumerdès
Boudouaou El Bahri,Boudouaou,Boumerdès
Taourga,Baghlia,Boumerdès
Hammedi,Khemis El Khechna,Boumerdès
Ain El Assel,El Tarf,El Tarf
Bougous,El Tarf,El Tarf
El Tarf,El Tarf,El Tarf
Zitouna,El Tarf,El Tarf
Besbes,Besbes,El Tarf
Ain Kerma,Bouhadjar,El Tarf
Bouhadjar,Bouhadjar,El Tarf
Hammam Beni Salah,Bouhadjar,El Tarf
Oued Zitoun,Bouhadjar,El Tarf
Ben M Hidi,Ben M'hidi,El Tarf
Berrihane,Ben M'hidi,El Tarf
Chebaita Mokhtar,Drean,El Tarf
Echatt,Ben M'hidi,El Tarf
El Aioun,El Kala,El Tarf
El Kala,El Kala,El Tarf
Souarekh,El Kala,El Tarf
Zerizer,Besbes,El Tarf
Bouteldja,Bouteldja,El Tarf
Chefia,Bouteldja,El Tarf
Lac Des Oiseaux,Bouteldja,El Tarf
Chihani,Drean,El Tarf
Raml Souk,El Kala,El Tarf
Asfour,Besbes,El Tarf
Drean,Drean,El Tarf
Tindouf,Tindouf,Tindouf
Oum El Assel,Tindouf,Tindouf
Khemisti,Khemisti,Tissemsilt
Theniet El Had,Theniet El Had,Tissemsilt
Ouled Bessam,Tissemsilt,Tissemsilt
Sidi Boutouchent,Theniet El Had,Tissemsilt
Tissemsilt,Tissemsilt,Tissemsilt
Sidi Lantri,Lardjem,Tissemsilt
Beni Chaib,Bordj Bounaama,Tissemsilt
Beni Lahcene,Bordj Bounaama,Tissemsilt
Sidi Abed,Ammari,Tissemsilt
Sidi Slimane,Bordj Bounaama,Tissemsilt
Boucaid,Lazharia,Tissemsilt
Larbaa,Lazharia,Tissemsilt
Lazharia,Lazharia,Tissemsilt
Lardjem,Lardjem,Tissemsilt
Melaab,Lardjem,Tissemsilt
Layoune,Khemisti,Tissemsilt
Tamellahet,Lardjem,Tissemsilt
Youssoufia,Bordj Emir Abdelkader,Tissemsilt
Bordj El Emir Abdelkader,Bordj Emir Abdelkader,Tissemsilt
Ammari,Ammari,Tissemsilt
Maacem,Ammari,Tissemsilt
Bordj Bounaama,Bordj Bounaama,Tissemsilt
Douar El Maa,Taleb Larbi,El Oued
El Ogla,Robbah,El Oued
Magrane,Magrane,El Oued
Sidi Aoun,Magrane,El Oued
Mih Ouansa,Mih Ouensa,El Oued
Kouinine,El Oued,El Oued
Bayadha,Bayadha,El Oued
Nakhla,Robbah,El Oued
Robbah,Robbah,El Oued
Guemar,Guemar,El Oued
Ben Guecha,Taleb Larbi,El Oued
Ourmes,Guemar,El Oued
Taghzout,Guemar,El Oued
Hamraia,Reguiba,El Oued
Reguiba,Reguiba,El Oued
Debila,Debila,El Oued
Hassani Abdelkrim,Debila,El Oued
Hassi Khalifa,Hassi Khalifa,El Oued
Trifaoui,Hassi Khalifa,El Oued
Taleb Larbi,Taleb Larbi,El Oued
Oued El Alenda,Mih Ouensa,El Oued
El-Oued,El Oued,El Oued
Khirane,Chechar,Khenchela
Babar,Babar,Khenchela
El Mahmal,Ouled Rechache,Khenchela
Ouled Rechache,Ouled Rechache,Khenchela
Djellal,Chechar,Khenchela
Yabous,Bouhmama,Khenchela
Khenchela,Khenchela,Khenchela
Kais,Kais,Khenchela
Chelia,Bouhmama,Khenchela
Remila,Kais,Khenchela
Taouzianat,Kais,Khenchela
Baghai,El Hamma,Khenchela
El Hamma,El Hamma,Khenchela
Ensigha,El Hamma,Khenchela
Tamza,El Hamma,Khenchela
Ain Touila,Ain Touila,Khenchela
M'toussa,Ain Touila,Khenchela
Bouhmama,Bouhmama,Khenchela
El Oueldja,Chechar,Khenchela
M'sara,Bouhmama,Khenchela
Chechar,Chechar,Khenchela
Souk Ahras,Souk Ahras,Souk Ahras
Ain Soltane,Sedrata,Souk Ahras
Sedrata,Sedrata,Souk Ahras
Hanencha,Mechroha,Souk Ahras
Machroha,Mechroha,Souk Ahras
Ain Zana,Ouled Driss,Souk Ahras
Ouled Driss,Ouled Driss,Souk Ahras
Terraguelt,Oum El Adhaim,Souk Ahras
Oum El Adhaim,Oum El Adhaim,Souk Ahras
Oued Kebrit,Oum El Adhaim,Souk Ahras
Tiffech,M'daourouche,Souk Ahras
Ragouba,M'daourouche,Souk Ahras
Drea,Taoura,Souk Ahras
Taoura,Taoura,Souk Ahras
Zaarouria,Taoura,Souk Ahras
Haddada,Haddada,Souk Ahras
Khedara,Haddada,Souk Ahras
Ouled Moumen,Haddada,Souk Ahras
Merahna,Merahna,Souk Ahras
Ouillen,Merahna,Souk Ahras
Sidi Fredj,Merahna,Souk Ahras
Bir Bouhouche,Bir Bouhouche,Souk Ahras
Safel El Ouiden,Bir Bouhouche,Souk Ahras
Khemissa,Sedrata,Souk Ahras
M'daourouche,M'daourouche,Souk Ahras
Zouabi,Bir Bouhouche,Souk Ahras
Hadjout,Hadjout,Tipaza
Merad,Hadjout,Tipaza
Menaceur,Sidi Amar,Tipaza
Aghbal,Gouraya,Tipaza
Nador,Sidi Amar,Tipaza
Sidi-Amar,Sidi Amar,Tipaza
Gouraya,Gouraya,Tipaza
Messelmoun,Gouraya,Tipaza
Cherchell,Cherchell,Tipaza
Hadjret Ennous,Cherchell,Tipaza
Sidi Ghiles,Cherchell,Tipaza
Damous,Damous,Tipaza
Larhat,Damous,Tipaza
Fouka,Fouka,Tipaza
Ain Tagourait,Bou Ismail,Tipaza
Bou Haroun,Bou Ismail,Tipaza
Bou Ismail,Bou Ismail,Tipaza
Khemisti,Bou Ismail,Tipaza
Ahmer El Ain,Ahmar El Ain,Tipaza
Bourkika,Ahmar El Ain,Tipaza
Douaouda,Fouka,Tipaza
Sidi Rached,Ahmar El Ain,Tipaza
Attatba,Kolea,Tipaza
Chaiba,Kolea,Tipaza
Kolea,Kolea,Tipaza
Sidi Semiane,Cherchell,Tipaza
Tipaza,Tipaza,Tipaza
Beni Mileuk,Damous,Tipaza
El Mechira,Teleghma,Mila
El Ayadi Barbes,Ain Beida Harriche,Mila
Ain Beida Harriche,Ain Beida Harriche,Mila
Tassala Lematai,Terrai Bainen,Mila
Terrai Bainen,Terrai Bainen,Mila
Amira Arres,Terrai Bainen,Mila
Tassadane Haddada,Tassadane Haddada,Mila
Minar Zarza,Tassadane Haddada,Mila
Sidi Merouane,Sidi Merouane,Mila
Chigara,Sidi Merouane,Mila
Hamala,Grarem Gouga,Mila
Grarem Gouga,Grarem Gouga,Mila
Tiberguent,Rouached,Mila
